index,SystemID,year
1,mrma-1900,1900
2,mrma-1901,1901
3,mrma-1902,1902
4,mrma-1903,1903
5,mrma-1904,1904
6,mrma-1905,1905
7,mrma-1906,1906
8,mrma-1907,1907
9,mrma-1908,1908
10,mrma-1909,1909
11,mrma-1910,1910
12,mrma-1911,1911
13,mrma-1912,1912
14,mrma-1913,1913
15,mrma-1914,1914
16,mrma-1915,1915
17,mrma-1916,1916
18,mrma-1917,1917
19,mrma-1918,1918
20,mrma-1919,1919
21,mrma-1920,1920
22,mrma-1921,1921
23,mrma-1922,1922
